area,rooms,floor,total_floors,year_built,building_age,district,metro_distance_km,has_parking,has_elevator,has_renovation,is_new_building,school_distance_km,park_distance_km,hospital_distance_km,price
46.9,2,17,25,1967,57,Север,6.54,1,1,1,0,3.35,5.69,2.91,12301000
47.9,2,9,10,2018,6,Пригород,17.68,0,1,0,1,4.57,0.66,4.77,4661000
60.9,2,2,6,2009,15,Юг,2.55,0,1,0,0,2.36,6.08,4.7,10719000
77.2,3,18,24,1983,41,Восток,20.69,0,1,1,0,0.3,4.42,9.95,15383000
96.1,3,9,14,1981,43,Запад,3.5,1,1,0,0,4.41,2.3,9.5,33425000
48.4,2,6,11,1996,28,Запад,8.67,0,1,1,0,0.43,6.91,6.07,16305000
121.2,4,11,17,2015,9,Центр,22.78,1,1,1,1,4.35,7.89,1.55,55760000
59.8,2,6,8,2016,8,Пригород,26.84,1,1,1,1,2.02,2.11,2.73,5405000
66.1,2,6,8,2000,24,Восток,6.87,1,1,1,0,1.89,6.47,3.76,12857000
49.5,2,13,22,2017,7,Юг,9.54,0,1,1,1,2.76,6.03,8.76,8579000
25.3,1,11,19,1960,64,Центр,0.54,0,1,1,0,4.79,6.0,1.87,11627000
95.0,3,14,21,1964,60,Пригород,21.69,1,1,0,0,4.5,7.66,2.35,8694000
89.5,3,2,6,2019,5,Юг,4.87,0,1,1,1,2.4,3.94,3.62,14752000
59.6,2,8,13,2013,11,Запад,3.9,0,1,0,1,3.51,5.43,9.28,18818000
68.5,2,3,12,1997,27,Запад,10.02,0,1,1,0,2.94,6.61,5.14,21383000
82.0,3,23,23,2012,12,Запад,0.58,1,1,1,1,3.5,3.89,6.54,27124000
35.7,1,21,30,2021,3,Север,28.65,1,1,1,1,4.16,3.9,3.99,9585000
54.0,2,3,3,2013,11,Восток,0.3,0,0,0,1,0.27,2.62,2.05,9579000
91.6,3,1,4,2016,8,Север,7.36,1,0,0,1,1.7,6.27,2.38,23263000
40.4,1,24,25,2012,12,Север,6.62,0,1,0,1,4.8,5.52,8.07,10175000
75.0,2,19,25,1981,43,Восток,1.16,1,1,1,0,4.75,3.66,8.96,15096000
38.8,1,18,19,2016,8,Запад,1.31,0,1,0,1,0.15,3.41,5.03,12537000
80.4,3,17,26,1982,42,Север,12.59,1,1,0,0,1.09,0.67,3.7,19908000
65.7,2,20,21,2018,6,Север,17.48,0,1,1,1,4.97,0.15,8.12,16688000
35.0,1,24,28,1997,27,Восток,2.66,0,1,1,0,2.51,4.28,6.8,6673000
106.3,4,13,16,2008,16,Юг,4.61,0,1,1,0,2.91,3.4,0.6,18071000
49.7,2,3,10,1999,25,Запад,3.51,0,1,0,0,0.92,6.39,3.64,16255000
48.2,2,1,4,1972,52,Восток,0.6,1,0,1,0,4.48,4.39,6.89,9709000
72.3,2,4,9,1988,36,Восток,8.95,0,1,0,0,1.23,7.5,5.82,14269000
105.6,4,13,17,2023,1,Центр,5.23,0,1,1,1,1.03,1.65,9.79,48893000
44.4,1,17,18,2022,2,Восток,2.91,0,1,1,1,1.22,7.92,8.69,8627000
68.4,2,11,18,1989,35,Запад,36.98,0,1,1,0,4.61,2.45,0.79,22988000
79.2,3,2,3,2023,1,Центр,0.3,0,0,0,1,3.54,5.18,7.31,35949000
88.0,3,16,24,2016,8,Пригород,44.78,0,1,1,1,3.87,4.06,3.5,7816000
71.6,2,2,10,2005,19,Пригород,35.17,0,1,1,0,1.95,2.94,6.88,6804000
57.6,2,19,21,1965,59,Юг,4.73,0,1,0,0,4.55,1.2,6.25,9353000
47.9,2,23,26,2019,5,Север,4.89,0,1,1,1,3.97,1.17,5.13,13067000
69.0,2,19,26,2002,22,Центр,0.9,1,1,1,0,3.78,5.72,8.56,30378000
43.4,1,16,24,2017,7,Юг,10.06,1,1,1,1,4.86,3.08,7.15,6907000
20.7,1,22,24,2016,8,Север,10.23,0,1,1,1,1.89,7.69,8.92,5092000
79.4,3,19,23,2015,9,Запад,2.65,1,1,1,1,3.09,2.67,2.96,26320000
95.7,3,9,16,2009,15,Восток,14.43,1,1,1,0,4.56,7.87,3.61,18442000
25.9,1,1,3,1988,36,Центр,1.14,0,0,1,0,3.98,1.72,6.3,11683000
44.5,1,10,16,1990,34,Пригород,47.63,1,1,1,0,2.86,0.91,9.67,3705000
85.4,3,19,26,1989,35,Север,1.03,0,1,0,0,0.47,2.57,3.84,22603000
151.9,5,1,10,1962,62,Юг,1.48,1,1,1,0,3.3,7.1,0.52,26032000
67.2,2,2,4,2003,21,Север,3.04,0,0,1,0,2.68,4.22,4.57,17146000
49.8,2,16,17,2009,15,Восток,7.21,0,1,1,0,1.0,1.17,5.53,10143000
62.0,2,12,21,2016,8,Восток,8.3,0,1,1,1,4.42,1.7,8.05,12608000
115.6,4,8,14,1978,46,Запад,4.04,1,1,0,0,1.78,2.56,7.34,38255000
51.5,2,23,30,2002,22,Пригород,18.5,1,1,0,0,2.0,4.76,9.65,4964000
48.4,2,18,18,1961,63,Юг,3.74,0,1,1,0,3.39,2.73,7.87,8647000
55.0,2,2,4,1972,52,Пригород,45.99,0,0,0,0,2.5,6.0,3.13,4638000
45.5,2,13,17,1967,57,Пригород,45.19,0,1,1,0,0.54,4.97,6.49,4422000
70.0,2,6,8,2010,14,Восток,1.4,0,1,0,1,2.0,7.0,6.79,13289000
127.7,4,21,21,1970,54,Пригород,15.35,0,1,0,0,0.56,4.06,9.98,12212000
75.9,3,6,12,2010,14,Центр,4.19,0,1,0,1,1.03,2.72,1.56,35064000
60.3,2,9,15,1985,39,Запад,0.9,1,1,1,0,0.14,7.97,2.07,19785000
59.3,2,16,25,2018,6,Центр,0.3,1,1,1,1,0.99,2.91,1.72,26697000
35.7,1,11,18,2015,9,Север,0.3,0,1,1,1,1.72,3.49,5.97,9200000
94.9,3,7,11,2021,3,Север,4.53,0,1,1,1,2.74,6.49,1.53,23902000
64.6,2,10,19,2018,6,Север,5.6,1,1,1,1,4.6,0.8,6.63,16420000
62.0,2,10,14,2020,4,Юг,8.12,1,1,0,1,2.75,3.15,8.08,10823000
239.2,6,20,24,2017,7,Север,2.81,1,1,1,1,3.56,0.78,4.44,64282000
75.2,3,18,18,2009,15,Север,9.91,1,1,0,0,1.85,1.2,5.69,19534000
49.4,2,24,30,1981,43,Восток,1.48,1,1,0,0,3.78,0.14,9.14,9322000
56.2,2,20,24,1986,38,Запад,14.27,0,1,0,0,3.14,0.18,5.78,17803000
105.6,4,9,14,1983,41,Юг,6.79,0,1,1,0,2.35,3.1,2.24,17837000
69.8,2,15,15,2004,20,Центр,2.63,1,1,1,0,1.05,6.49,3.56,30950000
37.5,1,4,10,2000,24,Пригород,24.44,0,1,0,0,1.59,4.74,5.39,3658000
96.3,3,8,8,2017,7,Юг,0.62,0,1,0,1,3.14,5.12,1.72,15787000
51.0,2,9,10,2021,3,Запад,5.0,0,1,0,1,2.19,4.2,6.2,17169000
141.1,5,13,14,1994,30,Центр,2.87,1,1,0,0,4.46,6.58,9.99,62372000
102.7,3,9,13,2000,24,Юг,0.8,1,1,1,0,1.25,7.05,6.59,17217000
55.8,2,4,13,2022,2,Юг,24.05,0,1,1,1,0.46,6.81,3.85,9573000
111.3,4,17,23,1987,37,Юг,31.46,0,1,1,0,2.99,6.52,3.45,19361000
68.5,2,16,16,2014,10,Юг,6.31,1,1,0,1,4.44,1.54,9.33,11900000
93.8,3,15,24,1984,40,Центр,8.99,0,1,0,0,1.89,4.79,8.74,41515000
81.0,3,3,3,2008,16,Север,1.58,0,0,0,0,3.27,4.7,4.83,21098000
47.5,2,20,20,1985,39,Запад,0.3,1,1,0,0,1.23,4.27,3.66,15464000
51.6,2,5,10,2018,6,Пригород,16.77,0,1,0,1,2.84,3.9,7.16,4207000
100.7,3,23,24,2002,22,Восток,7.08,0,1,1,0,3.96,0.8,3.28,20132000
58.3,2,5,5,1982,42,Север,0.51,1,1,1,0,4.35,0.91,1.37,15887000
56.7,2,20,25,1984,40,Центр,9.55,0,1,0,0,0.62,7.23,3.24,26569000
45.5,2,15,16,1999,25,Север,1.22,1,1,1,0,1.85,5.08,4.46,11982000
79.0,3,18,23,2022,2,Север,2.91,0,1,1,1,3.23,2.17,2.7,20761000
152.2,5,15,24,2012,12,Юг,13.83,0,1,1,1,0.27,2.31,2.32,22509000
43.5,1,2,9,1999,25,Восток,1.97,0,1,1,0,3.48,4.92,0.26,9660000
67.3,2,13,14,1990,34,Пригород,25.93,0,1,1,0,2.69,3.31,6.38,6716000
117.3,4,4,12,2002,22,Восток,8.22,1,1,0,0,1.51,3.59,6.22,24021000
64.6,2,10,17,2011,13,Запад,2.58,1,1,0,1,4.09,0.58,2.04,21393000
79.9,3,13,22,2013,11,Юг,1.96,1,1,0,1,1.52,1.2,9.45,12104000
43.6,1,10,10,1989,35,Юг,2.35,0,1,1,0,4.96,3.21,4.21,7444000
79.1,3,9,15,2010,14,Восток,5.4,1,1,0,1,4.1,5.63,0.45,15690000
61.9,2,8,17,2007,17,Юг,27.07,0,1,0,0,3.57,0.48,2.35,9742000
98.9,3,3,8,2022,2,Восток,14.28,1,1,0,1,0.4,2.74,6.98,20012000
107.2,4,16,21,2020,4,Восток,2.68,1,1,0,1,4.53,5.59,2.18,22429000
187.9,6,14,19,2013,11,Север,3.61,0,1,0,1,3.97,6.36,0.73,49481000
84.1,3,9,14,2010,14,Центр,1.87,0,1,1,1,1.22,1.6,6.25,38230000
76.0,3,21,30,1987,37,Запад,30.88,0,1,0,0,2.02,5.88,5.28,25356000
72.1,2,11,17,2016,8,Центр,0.57,0,1,1,1,1.42,7.65,7.66,32168000
57.9,2,3,5,1995,29,Восток,3.54,1,1,1,0,4.92,7.26,7.77,11842000
76.4,3,5,10,1986,38,Север,10.46,0,1,0,0,4.29,6.34,9.61,20972000
59.3,2,10,12,1993,31,Восток,26.58,0,1,1,0,4.66,5.73,0.76,11712000
71.3,2,13,19,2016,8,Пригород,22.01,0,1,1,1,3.96,1.96,0.58,6140000
113.0,4,4,10,1979,45,Запад,2.06,1,1,0,0,2.34,5.11,9.87,35549000
44.6,1,24,30,1997,27,Север,2.05,0,1,0,0,1.11,5.18,6.52,11794000
105.2,4,13,14,1999,25,Юг,0.3,0,1,1,0,1.12,3.31,7.21,18430000
112.9,4,12,20,1964,60,Запад,7.41,0,1,0,0,0.84,3.99,1.15,37671000
63.6,2,5,9,1982,42,Центр,3.33,1,1,1,0,2.78,5.58,0.88,28426000
28.5,1,10,18,2015,9,Север,7.38,0,1,1,1,4.61,7.62,1.77,7482000
52.3,2,24,30,2015,9,Запад,0.59,1,1,1,1,4.96,2.43,4.39,16983000
112.0,4,9,13,1988,36,Пригород,18.12,0,1,1,0,1.51,2.05,1.28,9655000
66.1,2,20,26,2017,7,Юг,1.89,0,1,1,1,3.52,4.85,4.57,10689000
44.7,1,7,15,2013,11,Восток,2.74,0,1,1,1,3.03,1.13,5.7,8477000
54.5,2,2,5,1995,29,Пригород,50.39,0,1,0,0,2.5,4.7,0.2,5077000
93.3,3,22,23,2011,13,Юг,1.39,0,1,0,1,3.36,0.8,1.32,15655000
83.0,3,24,30,2022,2,Запад,0.36,0,1,0,1,1.92,3.98,3.88,26778000
60.6,2,23,24,1997,27,Пригород,32.73,1,1,0,0,4.73,5.0,0.72,4931000
57.6,2,7,9,1985,39,Восток,4.31,0,1,1,0,3.56,0.65,1.51,11737000
57.0,2,8,17,2021,3,Юг,4.8,0,1,0,1,3.8,1.73,2.47,10212000
46.1,2,7,8,2004,20,Пригород,52.21,1,1,0,0,1.29,2.75,4.41,3852000
127.2,4,21,23,1974,50,Север,0.83,0,1,1,0,0.93,3.01,7.21,32902000
58.6,2,23,28,2003,21,Запад,9.74,1,1,1,0,2.03,5.44,1.5,18737000
108.5,4,14,16,2000,24,Запад,3.3,1,1,0,0,3.86,4.28,7.43,35619000
122.6,4,19,28,2017,7,Север,2.97,0,1,0,1,4.7,3.12,8.58,32616000
99.4,3,5,12,2001,23,Юг,21.57,1,1,0,0,2.19,3.66,6.58,18245000
56.1,2,23,28,1986,38,Пригород,26.18,0,1,1,0,3.89,0.2,0.63,4909000
78.4,3,18,24,2008,16,Центр,3.09,0,1,1,0,2.4,6.19,4.52,35949000
66.0,2,20,20,2002,22,Восток,2.57,0,1,0,0,1.55,0.42,6.67,13478000
46.5,2,12,14,1984,40,Север,5.66,0,1,0,0,3.72,6.65,9.79,11969000
75.9,3,23,25,2003,21,Запад,12.35,0,1,1,0,4.01,4.37,9.53,25987000
41.6,1,17,18,2015,9,Запад,17.08,0,1,1,1,1.09,4.27,4.08,13590000
107.2,4,13,19,1963,61,Север,14.6,0,1,0,0,1.6,5.67,6.24,28286000
55.4,2,2,10,2006,18,Пригород,41.2,0,1,0,0,2.52,6.89,8.93,4769000
72.3,2,13,16,1991,33,Север,2.29,0,1,1,0,1.01,7.55,8.34,19163000
74.7,2,7,11,1988,36,Восток,8.66,0,1,1,0,4.65,4.39,4.9,15046000
60.1,2,10,12,1993,31,Юг,9.9,0,1,0,0,3.0,1.29,2.76,10792000
84.3,3,23,30,1990,34,Север,0.3,0,1,0,0,0.69,7.04,1.54,23435000
55.1,2,6,9,2015,9,Пригород,34.76,0,1,1,1,1.0,0.42,4.98,5352000
94.5,3,3,7,1987,37,Пригород,52.95,0,1,1,0,4.78,6.48,7.28,8934000
38.9,1,3,3,2011,13,Север,5.38,1,0,0,1,3.72,5.48,9.7,9958000
70.1,2,18,19,1972,52,Восток,2.98,1,1,1,0,3.7,7.25,8.65,12430000
144.8,5,11,19,2021,3,Север,16.43,0,1,0,1,0.46,7.19,2.2,39523000
44.7,1,22,23,2005,19,Север,1.36,1,1,0,0,4.49,0.52,7.25,12447000
50.9,2,20,24,2009,15,Центр,0.69,0,1,1,0,2.27,4.91,3.03,23094000
81.9,3,5,12,1988,36,Восток,9.3,0,1,0,0,3.33,1.08,6.9,15441000
71.7,2,19,21,1994,30,Восток,3.48,1,1,0,0,4.8,0.72,6.72,15073000
76.7,3,22,27,1984,40,Центр,3.74,0,1,0,0,0.59,3.64,2.87,35550000
81.1,3,19,22,2020,4,Север,1.37,1,1,1,1,2.46,0.87,2.5,19484000
86.0,3,15,21,1999,25,Пригород,26.35,0,1,0,0,0.34,5.85,1.22,7862000
103.9,3,16,25,2006,18,Запад,1.36,0,1,1,0,2.55,7.75,0.7,34543000
78.6,3,24,26,2011,13,Запад,24.45,0,1,0,1,1.34,4.6,8.61,24539000
60.6,2,9,14,1992,32,Восток,4.16,0,1,0,0,4.56,1.96,0.69,11374000
87.3,3,4,13,2010,14,Пригород,30.17,0,1,1,1,2.05,6.76,1.07,8551000
142.6,5,15,23,2008,16,Запад,0.3,0,1,0,0,3.21,6.84,2.54,47132000
63.2,2,12,21,2009,15,Юг,1.33,1,1,0,0,4.32,5.89,8.9,10215000
45.2,2,23,23,1999,25,Юг,4.37,0,1,1,0,4.92,4.96,3.46,7389000
103.8,3,3,5,1993,31,Запад,0.57,0,1,1,0,2.57,6.96,2.08,32859000
63.6,2,23,24,1984,40,Юг,5.72,0,1,0,0,2.33,1.39,7.21,10824000
28.0,1,14,21,2015,9,Север,4.86,1,1,1,1,0.47,7.46,3.33,7526000
93.6,3,17,23,2005,19,Восток,11.66,0,1,1,0,0.16,7.58,3.47,19507000
53.8,2,19,20,1996,28,Восток,8.63,0,1,0,0,3.08,6.99,7.44,10282000
64.3,2,6,11,2021,3,Восток,4.72,1,1,0,1,0.42,2.08,2.67,12566000
76.2,3,4,6,1966,58,Центр,0.76,0,1,0,0,1.96,6.88,8.99,34721000
72.0,2,7,14,2016,8,Юг,10.38,0,1,1,1,0.12,4.03,5.7,12847000
88.6,3,19,28,2023,1,Север,9.84,1,1,1,1,3.11,4.8,5.47,23394000
56.0,2,17,19,2018,6,Запад,1.33,1,1,1,1,2.18,6.74,2.79,19294000
81.9,3,16,25,2014,10,Центр,7.39,0,1,0,1,0.72,0.33,8.38,38734000
60.1,2,15,23,1992,32,Восток,0.53,0,1,0,0,1.55,2.97,5.81,10996000
89.6,3,22,22,1984,40,Юг,0.45,1,1,1,0,2.89,6.54,1.72,16373000
85.3,3,8,12,2011,13,Центр,0.62,0,1,1,1,3.32,6.53,2.22,39776000
45.9,2,19,21,1988,36,Восток,19.22,1,1,0,0,2.37,6.8,4.79,8569000
